"","Country area or territory","Surveillance site type","Year-week (ISO 8601 calendar)","Week start date (ISO 8601 calendar)","Specimen tested","Influenza positive","Influenza negative","A (H3)"
"1","United Kingdom, England","Non-sentinel","2013-40",2013-09-30,7,0,0,0
"2","United Kingdom, England","Non-sentinel","2013-41",2013-10-07,4,2,0,2
"3","United Kingdom, England","Non-sentinel","2013-42",2013-10-14,4,1,0,1
"4","United Kingdom, England","Non-sentinel","2013-43",2013-10-21,4,0,0,0
"5","United Kingdom, England","Non-sentinel","2013-44",2013-10-28,8,3,0,3
"6","United Kingdom, England","Non-sentinel","2013-45",2013-11-04,16,10,0,10
"7","United Kingdom, England","Non-sentinel","2013-46",2013-11-11,11,1,0,1
"8","United Kingdom, England","Non-sentinel","2013-47",2013-11-18,9,0,0,0
"9","United Kingdom, England","Non-sentinel","2013-48",2013-11-25,18,0,0,0
"10","United Kingdom, England","Non-sentinel","2013-49",2013-12-02,10,1,0,1
"11","United Kingdom, England","Non-sentinel","2013-50",2013-12-09,18,2,0,2
"12","United Kingdom, England","Non-sentinel","2013-51",2013-12-16,24,3,0,3
"13","United Kingdom, England","Non-sentinel","2013-52",2013-12-23,23,4,0,4
"14","United Kingdom, England","Non-sentinel","2014-01",2013-12-30,59,3,0,3
"15","United Kingdom, England","Non-sentinel","2014-02",2014-01-06,55,1,0,1
"16","United Kingdom, England","Non-sentinel","2014-03",2014-01-13,79,4,0,4
"17","United Kingdom, England","Non-sentinel","2014-04",2014-01-20,71,3,0,3
"18","United Kingdom, England","Non-sentinel","2014-05",2014-01-27,110,12,0,12
"19","United Kingdom, England","Non-sentinel","2014-06",2014-02-03,152,8,0,8
"20","United Kingdom, England","Non-sentinel","2014-07",2014-02-10,153,6,0,6
"21","United Kingdom, England","Non-sentinel","2014-08",2014-02-17,161,4,0,4
"22","United Kingdom, England","Non-sentinel","2014-09",2014-02-24,215,9,0,9
"23","United Kingdom, England","Non-sentinel","2014-10",2014-03-03,170,12,0,12
"24","United Kingdom, England","Non-sentinel","2014-11",2014-03-10,194,4,0,4
"25","United Kingdom, England","Non-sentinel","2014-12",2014-03-17,144,3,0,3
"26","United Kingdom, England","Non-sentinel","2014-13",2014-03-24,119,2,0,2
"27","United Kingdom, England","Non-sentinel","2014-14",2014-03-31,102,7,0,7
"28","United Kingdom, England","Non-sentinel","2014-15",2014-04-07,94,2,0,2
"29","United Kingdom, England","Non-sentinel","2014-16",2014-04-14,37,2,0,2
"30","United Kingdom, England","Non-sentinel","2014-17",2014-04-21,62,1,0,1
"31","United Kingdom, England","Non-sentinel","2014-18",2014-04-28,56,4,0,4
"32","United Kingdom, England","Non-sentinel","2014-19",2014-05-05,30,0,0,0
"33","United Kingdom, England","Non-sentinel","2014-20",2014-05-12,25,2,0,2
"34","United Kingdom, England","Non-sentinel","2014-40",2014-09-29,5,0,0,0
"35","United Kingdom, England","Non-sentinel","2014-41",2014-10-06,3,1,0,1
"36","United Kingdom, England","Non-sentinel","2014-42",2014-10-13,8,2,0,2
"37","United Kingdom, England","Non-sentinel","2014-43",2014-10-20,7,0,0,0
"38","United Kingdom, England","Non-sentinel","2014-44",2014-10-27,12,1,0,1
"39","United Kingdom, England","Non-sentinel","2014-45",2014-11-03,9,2,0,2
"40","United Kingdom, England","Non-sentinel","2014-46",2014-11-10,14,5,0,5
"41","United Kingdom, England","Non-sentinel","2014-47",2014-11-17,9,0,0,0
"42","United Kingdom, England","Non-sentinel","2014-48",2014-11-24,14,4,0,4
"43","United Kingdom, England","Non-sentinel","2014-49",2014-12-01,31,2,0,2
"44","United Kingdom, England","Non-sentinel","2014-50",2014-12-08,27,3,0,3
"45","United Kingdom, England","Non-sentinel","2015-40",2015-09-28,14,3,0,3
"46","United Kingdom, England","Non-sentinel","2015-41",2015-10-05,31,2,0,2
"47","United Kingdom, England","Non-sentinel","2015-42",2015-10-12,18,0,0,0
"48","United Kingdom, England","Non-sentinel","2015-43",2015-10-19,15,1,0,1
"49","United Kingdom, England","Non-sentinel","2015-44",2015-10-26,21,1,0,1
"50","United Kingdom, England","Non-sentinel","2015-45",2015-11-02,20,0,0,0
"51","United Kingdom, England","Non-sentinel","2015-46",2015-11-09,22,2,0,2
"52","United Kingdom, England","Non-sentinel","2015-47",2015-11-16,20,1,0,1
"53","United Kingdom, England","Non-sentinel","2015-48",2015-11-23,22,0,0,0
"54","United Kingdom, England","Non-sentinel","2015-49",2015-11-30,37,0,0,0
"55","United Kingdom, England","Non-sentinel","2015-50",2015-12-07,34,0,0,0
"56","United Kingdom, England","Non-sentinel","2015-51",2015-12-14,85,1,0,1
"57","United Kingdom, England","Non-sentinel","2015-52",2015-12-21,98,0,0,0
"58","United Kingdom, England","Non-sentinel","2015-53",2015-12-28,117,0,0,0
"59","United Kingdom, England","Non-sentinel","2016-01",2016-01-04,217,3,0,3
"60","United Kingdom, England","Non-sentinel","2016-02",2016-01-11,184,2,0,2
"61","United Kingdom, England","Non-sentinel","2016-03",2016-01-18,231,1,0,1
"62","United Kingdom, England","Non-sentinel","2016-04",2016-01-25,425,0,0,0
"63","United Kingdom, England","Non-sentinel","2016-05",2016-02-01,484,1,0,1
"64","United Kingdom, England","Non-sentinel","2016-06",2016-02-08,472,0,0,0
"65","United Kingdom, England","Non-sentinel","2016-07",2016-02-15,543,1,0,1
"66","United Kingdom, England","Non-sentinel","2016-08",2016-02-22,544,0,0,0
"67","United Kingdom, England","Non-sentinel","2016-09",2016-02-29,613,0,0,0
"68","United Kingdom, England","Non-sentinel","2016-10",2016-03-07,659,1,0,1
"69","United Kingdom, England","Non-sentinel","2016-11",2016-03-14,899,0,0,0
"70","United Kingdom, England","Non-sentinel","2016-12",2016-03-21,729,1,0,1
"71","United Kingdom, England","Non-sentinel","2016-13",2016-03-28,688,0,0,0
"72","United Kingdom, England","Non-sentinel","2016-14",2016-04-04,491,0,0,0
"73","United Kingdom, England","Non-sentinel","2016-15",2016-04-11,415,0,0,0
"74","United Kingdom, England","Non-sentinel","2016-16",2016-04-18,222,1,0,1
"75","United Kingdom, England","Non-sentinel","2016-17",2016-04-25,187,2,0,2
"76","United Kingdom, England","Non-sentinel","2016-18",2016-05-02,157,0,0,0
"77","United Kingdom, England","Non-sentinel","2016-19",2016-05-09,110,1,0,1
"78","United Kingdom, England","Non-sentinel","2016-20",2016-05-16,63,0,0,0
"79","United Kingdom, England","Non-sentinel","2016-21",2016-05-23,30,0,0,0
"80","United Kingdom, England","Non-sentinel","2016-22",2016-05-30,23,0,0,0
"81","United Kingdom, England","Non-sentinel","2016-40",2016-10-03,14,1,0,1
"82","United Kingdom, England","Non-sentinel","2016-41",2016-10-10,10,1,0,1
"83","United Kingdom, England","Non-sentinel","2016-42",2016-10-17,14,0,0,0
"84","United Kingdom, England","Non-sentinel","2016-43",2016-10-24,9,3,0,3
"85","United Kingdom, England","Non-sentinel","2016-44",2016-10-31,21,4,0,4
"86","United Kingdom, England","Non-sentinel","2016-45",2016-11-07,20,1,0,1
"87","United Kingdom, England","Non-sentinel","2016-46",2016-11-14,46,2,0,2
"88","United Kingdom, England","Non-sentinel","2016-47",2016-11-21,23,1,0,1
"89","United Kingdom, England","Non-sentinel","2016-48",2016-11-28,61,7,0,7
"90","United Kingdom, England","Non-sentinel","2016-49",2016-12-05,135,7,0,7
"91","United Kingdom, England","Non-sentinel","2016-50",2016-12-12,204,12,0,12
"92","United Kingdom, England","Non-sentinel","2016-51",2016-12-19,374,17,0,17
"93","United Kingdom, England","Non-sentinel","2016-52",2016-12-26,416,11,0,11
"94","United Kingdom, England","Non-sentinel","2017-01",2017-01-02,646,13,0,13
"95","United Kingdom, England","Non-sentinel","2017-02",2017-01-09,897,5,0,5
"96","United Kingdom, England","Non-sentinel","2017-03",2017-01-16,681,13,0,13
"97","United Kingdom, England","Non-sentinel","2017-04",2017-01-23,794,8,0,8
"98","United Kingdom, England","Non-sentinel","2017-05",2017-01-30,824,12,0,12
"99","United Kingdom, England","Non-sentinel","2017-06",2017-02-06,579,9,0,9
"100","United Kingdom, England","Non-sentinel","2017-07",2017-02-13,379,7,0,7
"101","United Kingdom, England","Non-sentinel","2017-08",2017-02-20,445,11,0,11
"102","United Kingdom, England","Non-sentinel","2017-09",2017-02-27,321,2,0,2
"103","United Kingdom, England","Non-sentinel","2017-10",2017-03-06,162,13,0,13
"104","United Kingdom, England","Non-sentinel","2017-11",2017-03-13,95,7,0,7
"105","United Kingdom, England","Non-sentinel","2017-12",2017-03-20,78,2,0,2
"106","United Kingdom, England","Non-sentinel","2017-13",2017-03-27,68,1,0,1
"107","United Kingdom, England","Non-sentinel","2017-14",2017-04-03,64,2,0,2
"108","United Kingdom, England","Non-sentinel","2017-15",2017-04-10,38,0,0,0
"109","United Kingdom, England","Non-sentinel","2017-16",2017-04-17,41,1,0,1
"110","United Kingdom, England","Non-sentinel","2017-17",2017-04-24,49,1,0,1
"111","United Kingdom, England","Non-sentinel","2017-18",2017-05-01,36,0,0,0
"112","United Kingdom, England","Non-sentinel","2017-19",2017-05-08,36,0,0,0
"113","United Kingdom, England","Non-sentinel","2017-20",2017-05-15,49,0,0,0
"114","United Kingdom, England","Non-sentinel","2017-40",2017-10-02,34,1,0,1
"115","United Kingdom, England","Non-sentinel","2017-41",2017-10-09,36,2,0,2
"116","United Kingdom, England","Non-sentinel","2017-42",2017-10-16,21,1,0,1
"117","United Kingdom, England","Non-sentinel","2017-43",2017-10-23,23,1,0,1
"118","United Kingdom, England","Non-sentinel","2017-44",2017-10-30,26,2,0,2
"119","United Kingdom, England","Non-sentinel","2017-45",2017-11-06,29,3,0,3
"120","United Kingdom, England","Non-sentinel","2017-46",2017-11-13,51,9,0,9
"121","United Kingdom, England","Non-sentinel","2017-47",2017-11-20,78,1,0,1
"122","United Kingdom, England","Non-sentinel","2017-48",2017-11-27,73,5,0,5
"123","United Kingdom, England","Non-sentinel","2017-49",2017-12-04,166,5,0,5
"124","United Kingdom, England","Non-sentinel","2017-50",2017-12-11,296,7,0,7
"125","United Kingdom, England","Non-sentinel","2017-51",2017-12-18,765,10,0,10
"126","United Kingdom, England","Non-sentinel","2017-52",2017-12-25,1075,4,0,4
"127","United Kingdom, England","Non-sentinel","2018-01",2018-01-01,1967,6,0,6
"128","United Kingdom, England","Non-sentinel","2018-02",2018-01-08,2289,3,0,3
"129","United Kingdom, England","Non-sentinel","2018-03",2018-01-15,2321,20,0,20
"130","United Kingdom, England","Non-sentinel","2018-04",2018-01-22,2404,16,0,16
"131","United Kingdom, England","Non-sentinel","2018-05",2018-01-29,2150,6,0,6
"132","United Kingdom, England","Non-sentinel","2018-06",2018-02-05,1776,3,0,3
"133","United Kingdom, England","Non-sentinel","2018-07",2018-02-12,1895,6,0,6
"134","United Kingdom, England","Non-sentinel","2018-08",2018-02-19,2488,21,0,21
"135","United Kingdom, England","Non-sentinel","2018-09",2018-02-26,1662,10,0,10
"136","United Kingdom, England","Non-sentinel","2018-10",2018-03-05,2026,2,0,2
"137","United Kingdom, England","Non-sentinel","2018-11",2018-03-12,1664,8,0,8
"138","United Kingdom, England","Non-sentinel","2018-12",2018-03-19,1312,6,0,6
"139","United Kingdom, England","Non-sentinel","2018-13",2018-03-26,994,8,0,8
"140","United Kingdom, England","Non-sentinel","2018-14",2018-04-02,843,6,0,6
"141","United Kingdom, England","Non-sentinel","2018-15",2018-04-09,590,8,0,8
"142","United Kingdom, England","Non-sentinel","2018-16",2018-04-16,282,1,0,1
"143","United Kingdom, England","Non-sentinel","2018-17",2018-04-23,117,2,0,2
"144","United Kingdom, England","Non-sentinel","2018-18",2018-04-30,68,0,0,0
"145","United Kingdom, England","Non-sentinel","2018-19",2018-05-07,61,0,0,0
"146","United Kingdom, England","Non-sentinel","2018-20",2018-05-14,44,0,0,0
"147","United Kingdom, England","Non-sentinel","2018-40",2018-10-01,17,0,0,0
"148","United Kingdom, England","Non-sentinel","2018-41",2018-10-08,18,0,0,0
"149","United Kingdom, England","Non-sentinel","2018-42",2018-10-15,23,0,0,0
"150","United Kingdom, England","Non-sentinel","2018-43",2018-10-22,38,1,0,1
"151","United Kingdom, England","Non-sentinel","2018-44",2018-10-29,46,0,0,0
"152","United Kingdom, England","Non-sentinel","2018-45",2018-11-05,85,1,0,1
"153","United Kingdom, England","Non-sentinel","2018-46",2018-11-12,93,0,0,0
"154","United Kingdom, England","Non-sentinel","2018-47",2018-11-19,110,0,0,0
"155","United Kingdom, England","Non-sentinel","2018-48",2018-11-26,160,2,0,2
"156","United Kingdom, England","Non-sentinel","2018-49",2018-12-03,211,2,0,2
"157","United Kingdom, England","Non-sentinel","2018-50",2018-12-10,281,0,0,0
"158","United Kingdom, England","Non-sentinel","2018-51",2018-12-17,569,0,0,0
"159","United Kingdom, England","Non-sentinel","2018-52",2018-12-24,733,0,0,0
"160","United Kingdom, England","Non-sentinel","2019-01",2018-12-31,1309,2,0,2
"161","United Kingdom, England","Non-sentinel","2019-02",2019-01-07,1870,3,0,3
"162","United Kingdom, England","Non-sentinel","2019-03",2019-01-14,1819,6,0,6
"163","United Kingdom, England","Non-sentinel","2019-04",2019-01-21,2133,7,0,7
"164","United Kingdom, England","Non-sentinel","2019-05",2019-01-28,2407,9,0,9
"165","United Kingdom, England","Non-sentinel","2019-06",2019-02-04,2688,20,0,20
"166","United Kingdom, England","Non-sentinel","2019-07",2019-02-11,2871,22,0,22
"167","United Kingdom, England","Non-sentinel","2019-08",2019-02-18,2033,10,0,10
"168","United Kingdom, England","Non-sentinel","2019-09",2019-02-25,1317,13,0,13
"169","United Kingdom, England","Non-sentinel","2019-10",2019-03-04,897,9,0,9
"170","United Kingdom, England","Non-sentinel","2019-11",2019-03-11,673,5,0,5
"171","United Kingdom, England","Non-sentinel","2019-12",2019-03-18,697,8,0,8
"172","United Kingdom, England","Non-sentinel","2019-13",2019-03-25,504,9,0,9
"173","United Kingdom, England","Non-sentinel","2019-14",2019-04-01,430,15,0,15
"174","United Kingdom, England","Non-sentinel","2019-15",2019-04-08,428,10,0,10
"175","United Kingdom, England","Non-sentinel","2019-16",2019-04-15,320,1,0,1
"176","United Kingdom, England","Non-sentinel","2019-17",2019-04-22,334,2,0,2
"177","United Kingdom, England","Non-sentinel","2019-18",2019-04-29,195,3,0,3
"178","United Kingdom, England","Non-sentinel","2019-19",2019-05-06,92,1,0,1
"179","United Kingdom, England","Non-sentinel","2019-20",2019-05-13,86,2,0,2
"180","United Kingdom, England","Non-sentinel","2019-40",2019-09-30,88,13,0,13
"181","United Kingdom, England","Non-sentinel","2019-41",2019-10-07,114,3,0,3
"182","United Kingdom, England","Non-sentinel","2019-42",2019-10-14,112,9,0,9
"183","United Kingdom, England","Non-sentinel","2019-43",2019-10-21,186,12,0,12
"184","United Kingdom, England","Non-sentinel","2019-44",2019-10-28,249,16,0,16
"185","United Kingdom, England","Non-sentinel","2019-45",2019-11-04,198,11,0,11
"186","United Kingdom, England","Non-sentinel","2019-46",2019-11-11,249,9,0,9
"187","United Kingdom, England","Non-sentinel","2019-47",2019-11-18,554,26,0,26
"188","United Kingdom, England","Non-sentinel","2019-48",2019-11-25,1150,28,0,28
"189","United Kingdom, England","Non-sentinel","2020-01",2019-12-30,2559,44,0,44
"190","United Kingdom, England","Non-sentinel","2020-02",2020-01-06,1678,43,0,43
"191","United Kingdom, England","Non-sentinel","2020-03",2020-01-13,930,13,0,13
"192","United Kingdom, England","Non-sentinel","2020-04",2020-01-20,587,27,0,27
"193","United Kingdom, England","Non-sentinel","2020-05",2020-01-27,599,11,0,11
"194","United Kingdom, England","Non-sentinel","2020-06",2020-02-03,502,4,0,4
"195","United Kingdom, England","Non-sentinel","2020-07",2020-02-10,521,2,0,2
"196","United Kingdom, England","Non-sentinel","2020-08",2020-02-17,527,13,0,13
"197","United Kingdom, England","Non-sentinel","2020-09",2020-02-24,537,1,0,1
"198","United Kingdom, England","Non-sentinel","2020-10",2020-03-02,520,1,0,1
"199","United Kingdom, England","Non-sentinel","2020-11",2020-03-09,373,8,0,8
"200","United Kingdom, England","Non-sentinel","2020-12",2020-03-16,395,0,0,0
"201","United Kingdom, England","Non-sentinel","2020-13",2020-03-23,155,2,0,2
"202","United Kingdom, England","Non-sentinel","2020-14",2020-03-30,73,0,0,0
"203","United Kingdom, England","Non-sentinel","2020-15",2020-04-06,21,0,0,0
"204","United Kingdom, England","Non-sentinel","2020-16",2020-04-13,3,0,0,0
"205","United Kingdom, England","Non-sentinel","2020-17",2020-04-20,7,0,0,0
"206","United Kingdom, England","Non-sentinel","2020-18",2020-04-27,1,0,0,0
